No.	Strike	Dip	Dip Quad	Longitude	Latitude	Elevation	Units	Day	Month	Year	Notes	Label	Strabo Type	Strabo Detail	Strabo Detail 2	Strabo quality	Strabo Length	Strabo thickness
0	0	90	E	0	0	0	m	16	4	2026						0	0	0
1	0	80	E	0	0	0	m	16	4	2026						0	0	0
2	0	70	E	0	0	0	m	16	4	2026						0	0	0
3	0	60	E	0	0	0	m	16	4	2026						0	0	0
4	0	50	E	0	0	0	m	16	4	2026						0	0	0
5	0	40	E	0	0	0	m	16	4	2026						0	0	0
6	0	30	E	0	0	0	m	16	4	2026						0	0	0
7	0	20	E	0	0	0	m	16	4	2026						0	0	0
8	0	10	E	0	0	0	m	16	4	2026						0	0	0
9	180	10	W	0	0	0	m	16	4	2026						0	0	0
10	180	20	W	0	0	0	m	16	4	2026						0	0	0
11	180	30	W	0	0	0	m	16	4	2026						0	0	0
12	180	40	W	0	0	0	m	16	4	2026						0	0	0
13	180	50	W	0	0	0	m	16	4	2026						0	0	0
14	180	60	W	0	0	0	m	16	4	2026						0	0	0
15	180	70	W	0	0	0	m	16	4	2026						0	0	0
16	180	80	W	0	0	0	m	16	4	2026						0	0	0
17	180	0	W	0	0	0	m	16	4	2026						0	0	0
18	0	0	E	0	0	0	m	16	4	2026						0	0	0
19	0	0	E	0	0	0	m	16	4	2026						0	0	0
