Type,Trend,Plunge,DipDirection,Label,Color
line,180,10,North,Heart,#ff69b4
line,165,12,North,Heart,#ff69b4
line,150,18,North,Heart,#ff69b4
line,135,28,North,Heart,#ff69b4
line,120,40,North,Heart,#ff69b4
line,110,55,North,Heart,#ff69b4
line,105,65,North,Heart,#ff69b4
line,100,70,North,Heart,#ff69b4
line,95,75,North,Heart,#ff69b4
line,90,80,North,Heart,#ff69b4
line,85,75,North,Heart,#ff69b4
line,80,70,North,Heart,#ff69b4
line,70,60,North,Heart,#ff69b4
line,60,50,North,Heart,#ff69b4
line,50,40,North,Heart,#ff69b4
line,40,30,North,Heart,#ff69b4
line,30,22,North,Heart,#ff69b4
line,20,18,North,Heart,#ff69b4
line,10,14,North,Heart,#ff69b4
line,350,12,North,Heart,#ff69b4
line,340,14,North,Heart,#ff69b4
line,330,18,North,Heart,#ff69b4
line,320,25,North,Heart,#ff69b4
line,310,35,North,Heart,#ff69b4
line,300,45,North,Heart,#ff69b4
line,290,55,North,Heart,#ff69b4
line,280,65,North,Heart,#ff69b4
line,270,75,North,Heart,#ff69b4
line,260,80,North,Heart,#ff69b4
line,250,78,North,Heart,#ff69b4
line,240,70,North,Heart,#ff69b4
line,230,60,North,Heart,#ff69b4
line,220,50,North,Heart,#ff69b4
line,210,38,North,Heart,#ff69b4
line,200,25,North,Heart,#ff69b4
line,190,15,North,Heart,#ff69b4
